#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  14  0.108415  3.5549  5.3668 -2.7211 17.2036 13.6264 12.0251 11.3944 11.0433
  15  0.118275  3.5662  5.3233 -2.5943 16.4491 13.1829 11.6631 11.0789 10.7477
  16  0.128728  3.5767  5.2813 -2.4734 15.7658 12.7607 11.3258 10.7767 10.4618
  17  0.139321  3.5854  5.2443 -2.3673 15.1667 12.3898 11.0345 10.5116 10.2094
  18  0.149577  3.5919  5.2138 -2.2804 14.7243 12.0949 10.7983 10.2933 10.0004
  19  0.159385  3.5964  5.1890 -2.2094 14.4155 11.8653 10.6077 10.1147  9.8282
  20  0.169032  3.6001  5.1675 -2.1479 14.1653 11.6711 10.4432  9.9594  9.6782
  21  0.179415  3.6034  5.1472 -2.0884 13.9282 11.4859 10.2846  9.8091  9.5327
  22  0.193828  3.6073  5.1230 -2.0154 13.6393 11.2599 10.0898  9.6241  9.3536
  23  0.209469  3.6111  5.0996 -1.9431 13.3601 11.0378  9.8970  9.4407  9.1760
  24  0.230189  3.6157  5.0732 -1.8572 13.0372 10.7762  9.6677  9.2223  8.9648
  25  0.258115  3.6208  5.0454 -1.7593 12.6746 10.4784  9.4052  8.9724  8.7234
  26  0.283077  3.6248  5.0255 -1.6830 12.3954 10.2477  9.2008  8.7778  8.5353
  27  0.304219  3.6279  5.0114 -1.6251 12.1827 10.0719  9.0449  8.6295  8.3923
  28  0.318838  3.6300  5.0030 -1.5883 12.0479  9.9606  8.9458  8.5353  8.3014
  29  0.330556  3.6315  4.9966 -1.5601 11.9447  9.8756  8.8699  8.4631  8.2318
