#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.113634  3.5068  5.2563 -2.7820 17.8883 14.7201 13.2074 11.9674 11.2627
  14  0.132871  3.5070  5.1865 -2.6437 17.4872 14.3639 12.8600 11.6231 10.9185
  15  0.155484  3.5083  5.1246 -2.5087 17.0716 13.9975 12.5050 11.2803 10.5807
  16  0.177742  3.5115  5.0837 -2.3965 16.6812 13.6574 12.1802 10.9830 10.2975
  17  0.195673  3.5147  5.0572 -2.3156 16.3851 13.3993 11.9356 10.7640 10.0925
  18  0.210607  3.5170  5.0358 -2.2529 16.1622 13.2034 11.7495 10.5959  9.9341
  19  0.224284  3.5191  5.0177 -2.1990 15.9701 13.0336 11.5886 10.4510  9.7982
  20  0.238097  3.5213  5.0012 -2.1480 15.7881 12.8719 11.4355 10.3135  9.6695
  21  0.253413  3.5235  4.9845 -2.0952 15.6029 12.7055 11.2781 10.1713  9.5364
  22  0.275134  3.5265  4.9640 -2.0269 15.3650 12.4900 11.0743  9.9873  9.3643
  23  0.293513  3.5291  4.9479 -1.9729 15.1787 12.3198 10.9133  9.8420  9.2285
  24  0.303807  3.5304  4.9387 -1.9434 15.0777 12.2273 10.8254  9.7627  9.1543
  25  0.310676  3.5313  4.9325 -1.9240 15.0122 12.1670 10.7682  9.7109  9.1058
  26  0.315693  3.5318  4.9281 -1.9103 14.9665 12.1247 10.7281  9.6743  9.0715
  27  0.319393  3.5323  4.9252 -1.9004 14.9329 12.0936 10.6986  9.6477  9.0466
  28  0.322283  3.5326  4.9223 -1.8922 14.9055 12.0684 10.6746  9.6259  9.0261
