#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.6063E-04 2.6063E-04  -1.80   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.106276  3.5393  5.3597 -2.7847 17.8279 14.0951 12.4099 11.6585 11.2568
  14  0.116713  3.5479  5.3123 -2.6623 17.1677 13.6697 12.0345 11.3399 10.9601
  15  0.128421  3.5565  5.2650 -2.5389 16.5384 13.2434 11.6631 11.0173 10.6586
  16  0.141246  3.5644  5.2220 -2.4229 15.9839 12.8478 11.3216 10.7139 10.3733
  17  0.154255  3.5708  5.1875 -2.3246 15.5456 12.5191 11.0385 10.4578 10.1305
  18  0.165697  3.5754  5.1626 -2.2504 15.2251 12.2744 10.8276 10.2650  9.9469
  19  0.175369  3.5788  5.1438 -2.1936 14.9838 12.0887 10.6677 10.1178  9.8063
  20  0.185068  3.5818  5.1263 -2.1410 14.7649 11.9184 10.5210  9.9817  9.6757
  21  0.198824  3.5855  5.1038 -2.0723 14.4842 11.6989 10.3321  9.8053  9.5059
  22  0.228719  3.5924  5.0622 -1.9416 13.9421 11.2840  9.9769  9.4711  9.1828
  23  0.246343  3.5957  5.0429 -1.8770 13.6866 11.0816  9.8013  9.3056  9.0227
  24  0.254760  3.5970  5.0344 -1.8489 13.5790 10.9936  9.7244  9.2332  8.9527
  25  0.284918  3.6019  5.0088 -1.7551 13.2288 10.7015  9.4696  8.9920  8.7196
  26  0.300991  3.6041  4.9975 -1.7114 13.0699 10.5669  9.3513  8.8798  8.6111
  27  0.319292  3.6067  4.9855 -1.6635 12.8910 10.4172  9.2207  8.7564  8.4920
  28  0.325190  3.6074  4.9822 -1.6492 12.8370 10.3726  9.1819  8.7197  8.4566
  29  0.328755  3.6078  4.9794 -1.6398 12.8019 10.3433  9.1563  8.6955  8.4331
  30  0.331300  3.6082  4.9779 -1.6337 12.7784 10.3240  9.1397  8.6797  8.4179
  31  0.333505  3.6085  4.9776 -1.6292 12.7604 10.3093  9.1272  8.6681  8.4068
  32  0.335515  3.6088  4.9773 -1.6251 12.7434 10.2958  9.1159  8.6576  8.3967
  33  0.337355  3.6090  4.9764 -1.6208 12.7258 10.2817  9.1038  8.6463  8.3858
  34  0.339206  3.6093  4.9750 -1.6158 12.7059 10.2655  9.0901  8.6334  8.3734
  35  0.341233  3.6096  4.9732 -1.6101 12.6836 10.2473  9.0745  8.6186  8.3591
  36  0.343686  3.6100  4.9708 -1.6033 12.6581 10.2263  9.0562  8.6013  8.3424
  37  0.346840  3.6102  4.9683 -1.5956 12.6307 10.2034  9.0362  8.5819  8.3231
  38  0.358288  3.6119  4.9576 -1.5645 12.5125 10.1057  8.9517  8.5020  8.2459
  39  0.376698  3.6159  4.9343 -1.5041 12.2732  9.9095  8.7844  8.3458  8.0965
  40  0.407315  3.6228  4.9023 -1.4100 11.8912  9.5999  8.5219  8.1019  7.8645
  41  0.421153  3.6263  4.8848 -1.3639 11.7047  9.4472  8.3926  7.9822  7.7510
  42  0.432464  3.6298  4.8700 -1.3234 11.5346  9.3095  8.2778  7.8770  7.6519
  43  0.445011  3.6343  4.8537 -1.2766 11.3316  9.1474  8.1437  7.7549  7.5376
  44  0.452138  3.6374  4.8446 -1.2481 11.2016  9.0445  8.0604  7.6801  7.4683
  45  0.465758  3.6428  4.8258 -1.1951 10.9659  8.8603  7.9085  7.5423  7.3397
  46  0.474400  3.6471  4.8149 -1.1593 10.7953  8.7299  7.8037  7.4487  7.2533
  47  0.483431  3.6517  4.8041 -1.1216 10.6108  8.5919  7.6933  7.3504  7.1631
  48  0.488908  3.6548  4.7975 -1.0979 10.4919  8.5031  7.6231  7.2885  7.1065
  49  0.497255  3.6596  4.7890 -1.0625 10.3052  8.3705  7.5186  7.1962  7.0224
  50  0.508337  3.6667  4.7786 -1.0143 10.0421  8.1913  7.3775  7.0715  6.9090
  51  0.517087  3.6722  4.7702 -0.9764  9.8341  8.0517  7.2674  6.9739  6.8202
  52  0.521486  3.6751  4.7660 -0.9569  9.7274  7.9804  7.2110  6.9239  6.7746
  53  0.525730  3.6779  4.7619 -0.9381  9.6240  7.9117  7.1566  6.8754  6.7304
  54  0.529948  3.6808  4.7579 -0.9192  9.5209  7.8438  7.1028  6.8275  6.6867
  55  0.534225  3.6836  4.7537 -0.9002  9.4172  7.7758  7.0488  6.7794  6.6427
  56  0.538588  3.6865  4.7494 -0.8808  9.3122  7.7071  6.9941  6.7306  6.5981
  57  0.543061  3.6895  4.7450 -0.8610  9.2062  7.6368  6.9383  6.6810  6.5529
  58  0.547625  3.6925  4.7406 -0.8407  9.0989  7.5654  6.8813  6.6306  6.5071
  59  0.552244  3.6955  4.7360 -0.8202  8.9905  7.4937  6.8242  6.5798  6.4609
  60  0.556835  3.6987  4.7316 -0.7998  8.8821  7.4233  6.7678  6.5294  6.4147
  61  0.561356  3.7017  4.7272 -0.7796  8.7763  7.3548  6.7127  6.4798  6.3692
  62  0.565811  3.7048  4.7228 -0.7596  8.6733  7.2877  6.6585  6.4311  6.3244
  63  0.570190  3.7078  4.7184 -0.7399  8.5741  7.2223  6.6056  6.3833  6.2806
  64  0.574499  3.7107  4.7141 -0.7206  8.4773  7.1583  6.5538  6.3366  6.2376
  65  0.578740  3.7136  4.7097 -0.7014  8.3823  7.0958  6.5032  6.2909  6.1955
  66  0.582919  3.7164  4.7052 -0.6826  8.2893  7.0347  6.4536  6.2460  6.1541
  67  0.587037  3.7192  4.7006 -0.6640  8.1994  6.9750  6.4051  6.2019  6.1135
  68  0.591094  3.7218  4.6960 -0.6456  8.1132  6.9166  6.3573  6.1587  6.0735
  69  0.595100  3.7244  4.6912 -0.6275  8.0302  6.8594  6.3105  6.1163  6.0343
  70  0.599052  3.7270  4.6864 -0.6096  7.9498  6.8032  6.2644  6.0744  5.9955
  71  0.602960  3.7295  4.6814 -0.5918  7.8716  6.7480  6.2190  6.0331  5.9574
  72  0.606822  3.7320  4.6765 -0.5742  7.7953  6.6933  6.1741  5.9925  5.9197
  73  0.610634  3.7344  4.6714 -0.5567  7.7211  6.6395  6.1299  5.9524  5.8825
  74  0.614398  3.7368  4.6662 -0.5394  7.6488  6.5864  6.0861  5.9127  5.8457
  75  0.618104  3.7391  4.6610 -0.5223  7.5789  6.5344  6.0430  5.8735  5.8094
  76  0.621754  3.7413  4.6556 -0.5054  7.5112  6.4834  6.0006  5.8348  5.7734
  77  0.625344  3.7435  4.6503 -0.4887  7.4453  6.4333  5.9589  5.7968  5.7379
  78  0.628867  3.7457  4.6449 -0.4722  7.3815  6.3844  5.9179  5.7592  5.7029
  79  0.632316  3.7478  4.6395 -0.4560  7.3197  6.3366  5.8777  5.7223  5.6684
  80  0.635702  3.7498  4.6340 -0.4401  7.2599  6.2899  5.8381  5.6860  5.6343
  81  0.639019  3.7518  4.6285 -0.4244  7.2017  6.2441  5.7993  5.6503  5.6008
  82  0.643777  3.7546  4.6203 -0.4018  7.1186  6.1781  5.7435  5.5990  5.5529
  83  0.648496  3.7574  4.6120 -0.3792  7.0360  6.1121  5.6881  5.5484  5.5056
  84  0.653161  3.7601  4.6034 -0.3567  6.9551  6.0467  5.6330  5.4980  5.4586
  85  0.657774  3.7627  4.5946 -0.3343  6.8766  5.9821  5.5781  5.4475  5.4111
  86  0.662339  3.7653  4.5857 -0.3118  6.8004  5.9183  5.5232  5.3967  5.3632
  87  0.666859  3.7679  4.5764 -0.2894  6.7257  5.8549  5.4683  5.3457  5.3152
  88  0.671330  3.7704  4.5670 -0.2669  6.6520  5.7917  5.4135  5.2948  5.2671
  89  0.675750  3.7730  4.5573 -0.2444  6.5791  5.7286  5.3586  5.2438  5.2189
  90  0.680114  3.7755  4.5475 -0.2219  6.5072  5.6656  5.3038  5.1928  5.1708
  91  0.684415  3.7779  4.5375 -0.1994  6.4358  5.6028  5.2491  5.1419  5.1226
  92  0.688651  3.7803  4.5273 -0.1768  6.3653  5.5402  5.1944  5.0909  5.0743
