#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=12.500 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.102329  3.5475  5.3953 -2.8039 17.7246 13.9114 12.2640 11.5982 11.2331
  14  0.111858  3.5588  5.3519 -2.6765 16.9329 13.4711 11.8972 11.2839 10.9401
  15  0.122064  3.5701  5.3082 -2.5497 16.1941 13.0270 11.5379 10.9676 10.6428
  16  0.132980  3.5803  5.2669 -2.4303 15.5208 12.6093 11.2066 10.6687 10.3592
  17  0.144036  3.5885  5.2311 -2.3274 14.9519 12.2521 10.9256 10.4115 10.1137
  18  0.154650  3.5942  5.2023 -2.2447 14.5649 11.9781 10.7021 10.2034  9.9139
  19  0.164771  3.5985  5.1787 -2.1767 14.2801 11.7610 10.5198 10.0319  9.7484
  20  0.174990  3.6019  5.1577 -2.1156 14.0350 11.5697 10.3567  9.8776  9.5991
  21  0.188140  3.6057  5.1343 -2.0458 13.7574 11.3531 10.1707  9.7011  9.4283
  22  0.202463  3.6094  5.1116 -1.9770 13.4897 11.1415  9.9874  9.5268  9.2594
  23  0.219332  3.6133  5.0879 -1.9024 13.2057 10.9134  9.7884  9.3373  9.0761
  24  0.244510  3.6183  5.0595 -1.8070 12.8506 10.6231  9.5332  9.0943  8.8410
  25  0.269044  3.6226  5.0370 -1.7256 12.5513 10.3765  9.3152  8.8867  8.6405
  26  0.291926  3.6261  5.0198 -1.6589 12.3070 10.1745  9.1358  8.7159  8.4757
  27  0.310567  3.6288  5.0080 -1.6095 12.1256 10.0247  9.0027  8.5894  8.3536
  28  0.323636  3.6305  5.0006 -1.5771 12.0079  9.9275  8.9161  8.5069  8.2739
  29  0.334786  3.6319  4.9946 -1.5505 11.9103  9.8471  8.8444  8.4387  8.2083
  30  0.345235  3.6334  4.9890 -1.5260 11.8190  9.7727  8.7782  8.3759  8.1476
  31  0.354753  3.6347  4.9839 -1.5036 11.7347  9.7044  8.7178  8.3186  8.0926
  32  0.361644  3.6357  4.9801 -1.4874 11.6729  9.6547  8.6738  8.2770  8.0526
  33  0.366639  3.6366  4.9768 -1.4752 11.6254  9.6167  8.6404  8.2455  8.0224
  34  0.370545  3.6372  4.9738 -1.4649 11.5855  9.5849  8.6124  8.2191  7.9971
  35  0.373958  3.6378  4.9708 -1.4554 11.5485  9.5555  8.5867  8.1948  7.9738
  36  0.377200  3.6385  4.9676 -1.4461 11.5121  9.5265  8.5611  8.1707  7.9507
  37  0.380546  3.6390  4.9640 -1.4362 11.4742  9.4962  8.5343  8.1454  7.9265
  38  0.384917  3.6399  4.9589 -1.4230 11.4250  9.4563  8.4989  8.1117  7.8940
  39  0.389409  3.6406  4.9540 -1.4097 11.3745  9.4155  8.4629  8.0777  7.8613
  40  0.397521  3.6423  4.9440 -1.3842 11.2758  9.3356  8.3932  8.0121  7.7985
  41  0.403782  3.6436  4.9360 -1.3642 11.1992  9.2739  8.3389  7.9610  7.7495
  42  0.415688  3.6462  4.9223 -1.3275 11.0533  9.1584  8.2381  7.8665  7.6593
  43  0.430496  3.6501  4.9057 -1.2803 10.8566  9.0074  8.1078  7.7450  7.5441
  44  0.447385  3.6551  4.8859 -1.2234 10.6097  8.8225  7.9498  7.5987  7.4061
  45  0.459406  3.6591  4.8712 -1.1814 10.4240  8.6858  7.8332  7.4909  7.3045
  46  0.470865  3.6632  4.8564 -1.1391 10.2329  8.5465  7.7155  7.3827  7.2030
  47  0.481401  3.6674  4.8427 -1.0991 10.0498  8.4140  7.6041  7.2808  7.1077
  48  0.491507  3.6717  4.8297 -1.0599  9.8679  8.2833  7.4950  7.1815  7.0152
  49  0.501630  3.6765  4.8175 -1.0198  9.6768  8.1480  7.3835  7.0804  6.9216
  50  0.510257  3.6806  4.8071 -0.9853  9.5107  8.0312  7.2876  6.9939  6.8416
  51  0.518116  3.6847  4.7978 -0.9530  9.3536  7.9217  7.1984  6.9138  6.7678
  52  0.522543  3.6871  4.7925 -0.9346  9.2637  7.8591  7.1476  6.8682  6.7259
  53  0.526897  3.6895  4.7874 -0.9162  9.1746  7.7971  7.0973  6.8232  6.6845
  54  0.531244  3.6920  4.7824 -0.8978  9.0857  7.7349  7.0468  6.7781  6.6431
  55  0.535620  3.6945  4.7772 -0.8791  8.9970  7.6726  6.9962  6.7328  6.6014
  56  0.540067  3.6971  4.7722 -0.8601  8.9065  7.6090  6.9446  6.6867  6.5592
  57  0.544618  3.6997  4.7668 -0.8407  8.8148  7.5444  6.8921  6.6398  6.5160
  58  0.549275  3.7024  4.7615 -0.8207  8.7213  7.4785  6.8388  6.5919  6.4720
  59  0.554007  3.7052  4.7560 -0.8004  8.6269  7.4118  6.7847  6.5434  6.4274
  60  0.558753  3.7080  4.7505 -0.7799  8.5326  7.3446  6.7303  6.4947  6.3827
  61  0.563489  3.7108  4.7450 -0.7593  8.4387  7.2773  6.6758  6.4460  6.3380
  62  0.568200  3.7137  4.7395 -0.7387  8.3461  7.2103  6.6214  6.3975  6.2936
  63  0.572866  3.7166  4.7339 -0.7182  8.2550  7.1440  6.5677  6.3495  6.2496
  64  0.577483  3.7194  4.7284 -0.6979  8.1658  7.0785  6.5146  6.3022  6.2061
  65  0.582031  3.7222  4.7229 -0.6778  8.0791  7.0143  6.4625  6.2554  6.1633
  66  0.586498  3.7250  4.7175 -0.6580  7.9953  6.9518  6.4114  6.2096  6.1211
  67  0.590883  3.7277  4.7120 -0.6385  7.9146  6.8911  6.3613  6.1645  6.0795
  68  0.595167  3.7303  4.7065 -0.6194  7.8372  6.8320  6.3126  6.1204  6.0387
  69  0.599356  3.7329  4.7012 -0.6008  7.7625  6.7748  6.2650  6.0773  5.9988
  70  0.603436  3.7354  4.6958 -0.5825  7.6908  6.7192  6.2187  6.0352  5.9599
  71  0.607410  3.7378  4.6904 -0.5646  7.6214  6.6650  6.1734  5.9942  5.9218
  72  0.611285  3.7401  4.6851 -0.5471  7.5542  6.6120  6.1292  5.9542  5.8848
  73  0.615071  3.7424  4.6798 -0.5299  7.4886  6.5600  6.0860  5.9151  5.8486
  74  0.618769  3.7446  4.6745 -0.5131  7.4251  6.5092  6.0437  5.8767  5.8131
  75  0.622389  3.7468  4.6692 -0.4965  7.3635  6.4596  6.0022  5.8392  5.7783
  76  0.625933  3.7489  4.6639 -0.4801  7.3039  6.4111  5.9614  5.8022  5.7440
  77  0.629406  3.7511  4.6586 -0.4641  7.2464  6.3639  5.9214  5.7657  5.7099
  78  0.632818  3.7531  4.6533 -0.4482  7.1904  6.3176  5.8821  5.7296  5.6764
  79  0.636163  3.7551  4.6479 -0.4326  7.1356  6.2720  5.8434  5.6944  5.6435
  80  0.639450  3.7571  4.6427 -0.4173  7.0813  6.2270  5.8054  5.6599  5.6115
  81  0.642682  3.7590  4.6374 -0.4021  7.0277  6.1824  5.7681  5.6260  5.5801
  82  0.647432  3.7618  4.6294 -0.3796  6.9493  6.1169  5.7130  5.5762  5.5337
  83  0.652201  3.7646  4.6212 -0.3569  6.8719  6.0513  5.6575  5.5255  5.4866
  84  0.656955  3.7674  4.6127 -0.3341  6.7966  5.9861  5.6017  5.4742  5.4387
  85  0.661679  3.7702  4.6041 -0.3112  6.7225  5.9212  5.5457  5.4226  5.3903
  86  0.666373  3.7730  4.5952 -0.2882  6.6494  5.8563  5.4894  5.3707  5.3416
  87  0.671030  3.7757  4.5861 -0.2652  6.5771  5.7913  5.4330  5.3187  5.2927
  88  0.675650  3.7784  4.5768 -0.2421  6.5054  5.7264  5.3765  5.2665  5.2436
  89  0.680231  3.7811  4.5673 -0.2188  6.4339  5.6614  5.3200  5.2141  5.1944
  90  0.684768  3.7838  4.5574 -0.1953  6.3629  5.5963  5.2632  5.1615  5.1449
  91  0.689259  3.7864  4.5474 -0.1719  6.2923  5.5310  5.2061  5.1086  5.0951
  92  0.693701  3.7891  4.5369 -0.1482  6.2224  5.4655  5.1487  5.0553  5.0449
  93  0.698093  3.7916  4.5261 -0.1245  6.1532  5.3997  5.0908  5.0015  4.9940
  94  0.702426  3.7942  4.5148 -0.1004  6.0849  5.3337  5.0323  4.9468  4.9423
  95  0.706686  3.7966  4.5033 -0.0763  6.0169  5.2675  4.9735  4.8919  4.8903
  96  0.710865  3.7990  4.4912 -0.0521  5.9490  5.2011  4.9146  4.8369  4.8383
  97  0.714949  3.8014  4.4788 -0.0277  5.8801  5.1346  4.8566  4.7829  4.7870
  98  0.718933  3.8037  4.4660 -0.0034  5.8118  5.0683  4.7984  4.7287  4.7357
  99  0.722810  3.8059  4.4527  0.0209  5.7447  5.0021  4.7400  4.6739  4.6837
 100  0.726573  3.8080  4.4390  0.0453  5.6802  4.9363  4.6805  4.6178  4.6302
 101  0.730220  3.8099  4.4249  0.0696  5.6168  4.8709  4.6209  4.5613  4.5761
 102  0.733750  3.8118  4.4104  0.0937  5.5544  4.8059  4.5612  4.5045  4.5216
 103  0.737161  3.8136  4.3955  0.1178  5.4924  4.7413  4.5017  4.4478  4.4671
 104  0.740457  3.8153  4.3802  0.1418  5.4311  4.6771  4.4424  4.3912  4.4125
 105  0.743638  3.8169  4.3645  0.1656  5.3704  4.6135  4.3834  4.3346  4.3579
 106  0.746707  3.8183  4.3485  0.1893  5.3107  4.5503  4.3246  4.2783  4.3034
 107  0.749666  3.8197  4.3321  0.2129  5.2517  4.4877  4.2664  4.2224  4.2491
 108  0.752518  3.8210  4.3154  0.2363  5.1936  4.4256  4.2085  4.1667  4.1950
 109  0.755266  3.8221  4.2983  0.2596  5.1362  4.3641  4.1509  4.1111  4.1410
 110  0.757917  3.8232  4.2808  0.2827  5.0795  4.3030  4.0936  4.0556  4.0870
 111  0.760478  3.8241  4.2629  0.3058  5.0233  4.2424  4.0365  4.0003  4.0328
 112  0.761167  3.8243  4.2579  0.3122  5.0079  4.2258  4.0208  3.9851  4.0180
 113  0.761855  3.8245  4.2529  0.3185  4.9924  4.2090  4.0049  3.9697  4.0028
 114  0.762540  3.8247  4.2478  0.3249  4.9770  4.1924  3.9892  3.9544  3.9878
 115  0.763223  3.8250  4.2428  0.3313  4.9615  4.1756  3.9733  3.9389  3.9727
 116  0.763905  3.8253  4.2375  0.3378  4.9456  4.1585  3.9571  3.9231  3.9572
 117  0.764584  3.8255  4.2323  0.3442  4.9300  4.1416  3.9410  3.9075  3.9419
 118  0.765259  3.8257  4.2271  0.3508  4.9142  4.1245  3.9248  3.8917  3.9264
 119  0.765930  3.8260  4.2219  0.3576  4.8978  4.1067  3.9080  3.8756  3.9106
 120  0.766598  3.8262  4.2167  0.3642  4.8816  4.0892  3.8915  3.8594  3.8948
 121  0.767258  3.8265  4.2115  0.3709  4.8652  4.0714  3.8746  3.8432  3.8790
 122  0.767912  3.8269  4.2065  0.3779  4.8481  4.0528  3.8573  3.8265  3.8629
 123  0.768562  3.8273  4.2014  0.3849  4.8312  4.0343  3.8400  3.8099  3.8467
 124  0.769208  3.8277  4.1964  0.3919  4.8140  4.0154  3.8225  3.7931  3.8306
 125  0.769851  3.8282  4.1915  0.3990  4.7966  3.9964  3.8049  3.7763  3.8142
 126  0.770489  3.8286  4.1864  0.4061  4.7791  3.9772  3.7870  3.7591  3.7976
 127  0.771123  3.8290  4.1810  0.4133  4.7615  3.9580  3.7690  3.7418  3.7808
 128  0.771753  3.8293  4.1755  0.4207  4.7439  3.9387  3.7508  3.7242  3.7637
 129  0.772376  3.8296  4.1693  0.4280  4.7261  3.9194  3.7323  3.7062  3.7460
 130  0.772992  3.8297  4.1628  0.4355  4.7082  3.9000  3.7136  3.6879  3.7279
 131  0.773603  3.8298  4.1561  0.4430  4.6901  3.8806  3.6947  3.6692  3.7093
 132  0.774205  3.8299  4.1490  0.4506  4.6719  3.8610  3.6755  3.6501  3.6904
 133  0.774802  3.8299  4.1418  0.4583  4.6535  3.8412  3.6561  3.6309  3.6713
 134  0.775394  3.8300  4.1344  0.4661  4.6350  3.8215  3.6366  3.6115  3.6519
 135  0.775979  3.8298  4.1268  0.4739  4.6165  3.8016  3.6169  3.5918  3.6322
 136  0.776557  3.8298  4.1190  0.4818  4.5977  3.7815  3.5970  3.5720  3.6123
 137  0.777128  3.8297  4.1109  0.4898  4.5789  3.7614  3.5769  3.5519  3.5921
 138  0.777691  3.8295  4.1025  0.4977  4.5599  3.7414  3.5566  3.5314  3.5714
 139  0.778247  3.8292  4.0937  0.5059  4.5408  3.7212  3.5361  3.5107  3.5504
 140  0.778794  3.8289  4.0846  0.5140  4.5217  3.7010  3.5154  3.4896  3.5290
 141  0.779333  3.8286  4.0753  0.5223  4.5023  3.6807  3.4945  3.4683  3.5072
 142  0.779863  3.8282  4.0655  0.5306  4.4829  3.6604  3.4733  3.4466  3.4852
 143  0.780383  3.8277  4.0555  0.5390  4.4633  3.6401  3.4520  3.4247  3.4627
 144  0.780894  3.8271  4.0451  0.5474  4.4438  3.6198  3.4305  3.4024  3.4398
 145  0.781394  3.8265  4.0344  0.5559  4.4240  3.5994  3.4088  3.3798  3.4164
 146  0.781884  3.8258  4.0233  0.5646  4.4042  3.5791  3.3868  3.3568  3.3925
 147  0.782363  3.8250  4.0117  0.5731  4.3842  3.5588  3.3643  3.3332  3.3680
 148  0.782830  3.8241  3.9996  0.5819  4.3638  3.5387  3.3413  3.3087  3.3424
 149  0.783284  3.8232  3.9871  0.5906  4.3433  3.5187  3.3181  3.2839  3.3163
 150  0.783725  3.8220  3.9741  0.5995  4.3228  3.4988  3.2945  3.2585  3.2895
 151  0.784154  3.8208  3.9604  0.6083  4.3023  3.4791  3.2707  3.2326  3.2621
 152  0.784569  3.8194  3.9463  0.6172  4.2819  3.4596  3.2468  3.2065  3.2343
 153  0.784970  3.8179  3.9316  0.6263  4.2622  3.4403  3.2233  3.1807  3.2066
 154  0.785356  3.8163  3.9163  0.6352  4.2430  3.4212  3.2000  3.1551  3.1790
 155  0.785728  3.8145  3.9004  0.6443  4.2243  3.4023  3.1768  3.1294  3.1513
 156  0.786087  3.8126  3.8840  0.6533  4.2060  3.3838  3.1537  3.1034  3.1231
 157  0.786430  3.8106  3.8669  0.6624  4.1881  3.3656  3.1303  3.0770  3.0942
 158  0.786759  3.8084  3.8493  0.6714  4.1705  3.3478  3.1069  3.0502  3.0648
 159  0.787075  3.8060  3.8310  0.6805  4.1532  3.3306  3.0834  3.0232  3.0351
 160  0.787376  3.8035  3.8121  0.6896  4.1363  3.3136  3.0600  2.9962  3.0050
 161  0.787665  3.8009  3.7927  0.6986  4.1199  3.2972  3.0367  2.9690  2.9746
 162  0.787867  3.7989  3.7782  0.7052  4.1085  3.2856  3.0196  2.9489  2.9522
 163  0.788067  3.7968  3.7630  0.7119  4.0976  3.2740  3.0024  2.9285  2.9293
 164  0.788265  3.7945  3.7473  0.7187  4.0870  3.2625  2.9849  2.9075  2.9056
 165  0.788461  3.7921  3.7308  0.7257  4.0770  3.2514  2.9668  2.8857  2.8808
 166  0.788653  3.7895  3.7134  0.7326  4.0679  3.2408  2.9480  2.8626  2.8544
 167  0.788844  3.7868  3.6956  0.7398  4.0596  3.2305  2.9286  2.8387  2.8273
 168  0.789030  3.7839  3.6773  0.7470  4.0519  3.2202  2.9091  2.8147  2.7998
 169  0.789215  3.7811  3.6586  0.7543  4.0444  3.2096  2.8901  2.7913  2.7730
 170  0.789397  3.7780  3.6390  0.7617  4.0385  3.1995  2.8711  2.7676  2.7457
 171  0.789574  3.7746  3.6181  0.7691  4.0349  3.1907  2.8518  2.7428  2.7168
 172  0.789749  3.7714  3.5979  0.7767  4.0311  3.1810  2.8320  2.7178  2.6880
 173  0.789922  3.7686  3.5787  0.7846  4.0254  3.1698  2.8120  2.6932  2.6600
 174  0.790092  3.7661  3.5604  0.7927  4.0180  3.1571  2.7916  2.6688  2.6324
 175  0.790257  3.7637  3.5425  0.8011  4.0095  3.1433  2.7706  2.6440  2.6047
 176  0.790417  3.7614  3.5251  0.8098  4.0000  3.1285  2.7490  2.6190  2.5771
 177  0.790570  3.7593  3.5079  0.8187  3.9895  3.1127  2.7270  2.5937  2.5493
 178  0.790718  3.7574  3.4910  0.8278  3.9784  3.0959  2.7041  2.5679  2.5211
 179  0.790859  3.7556  3.4746  0.8372  3.9666  3.0784  2.6808  2.5416  2.4926
 180  0.790995  3.7539  3.4586  0.8467  3.9544  3.0602  2.6568  2.5147  2.4637
 181  0.791125  3.7524  3.4430  0.8565  3.9412  3.0413  2.6323  2.4875  2.4345
 182  0.791271  3.7510  3.4255  0.8678  3.9249  3.0186  2.6038  2.4561  2.4013
 183  0.791415  3.7495  3.4083  0.8796  3.9066  2.9945  2.5744  2.4243  2.3675
 184  0.791556  3.7482  3.3911  0.8915  3.8869  2.9692  2.5444  2.3920  2.3336
 185  0.791696  3.7470  3.3743  0.9039  3.8652  2.9426  2.5138  2.3593  2.2994
 186  0.791834  3.7460  3.3575  0.9163  3.8426  2.9153  2.4828  2.3266  2.2654
 187  0.791971  3.7450  3.3409  0.9290  3.8186  2.8872  2.4515  2.2935  2.2311
 188  0.792106  3.7440  3.3245  0.9418  3.7936  2.8583  2.4197  2.2603  2.1967
 189  0.792241  3.7432  3.3083  0.9546  3.7681  2.8290  2.3877  2.2270  2.1623
 190  0.792375  3.7424  3.2922  0.9677  3.7419  2.7993  2.3555  2.1935  2.1279
 191  0.792509  3.7416  3.2762  0.9807  3.7152  2.7691  2.3230  2.1599  2.0934
 192  0.792641  3.7410  3.2604  0.9939  3.6879  2.7386  2.2904  2.1262  2.0589
 193  0.792774  3.7403  3.2446  1.0071  3.6602  2.7078  2.2578  2.0926  2.0244
 194  0.792907  3.7397  3.2290  1.0204  3.6323  2.6768  2.2249  2.0588  1.9899
 195  0.793038  3.7391  3.2135  1.0336  3.6041  2.6456  2.1921  2.0250  1.9554
 196  0.793170  3.7386  3.1980  1.0469  3.5756  2.6143  2.1590  1.9912  1.9209
 197  0.793302  3.7380  3.1825  1.0602  3.5470  2.5827  2.1260  1.9573  1.8864
 198  0.793434  3.7375  3.1673  1.0736  3.5181  2.5512  2.0930  1.9235  1.8520
 199  0.793565  3.7370  3.1521  1.0869  3.4891  2.5196  2.0599  1.8898  1.8176
 200  0.793697  3.7365  3.1369  1.1003  3.4599  2.4877  2.0267  1.8559  1.7831
 201  0.793828  3.7361  3.1217  1.1137  3.4304  2.4556  1.9934  1.8219  1.7486
 202  0.793957  3.7356  3.1064  1.1272  3.4007  2.4233  1.9598  1.7877  1.7138
 203  0.794086  3.7352  3.0911  1.1409  3.3706  2.3907  1.9260  1.7532  1.6788
 204  0.794214  3.7347  3.0757  1.1547  3.3401  2.3577  1.8917  1.7183  1.6434
 205  0.794340  3.7343  3.0601  1.1686  3.3094  2.3243  1.8572  1.6832  1.6078
 206  0.794465  3.7339  3.0445  1.1826  3.2783  2.2907  1.8224  1.6477  1.5718
 207  0.794590  3.7335  3.0287  1.1967  3.2470  2.2568  1.7873  1.6121  1.5356
 208  0.794713  3.7331  3.0130  1.2109  3.2157  2.2229  1.7522  1.5763  1.4994
 209  0.794836  3.7327  2.9972  1.2251  3.1839  2.1885  1.7167  1.5402  1.4628
 210  0.794951  3.7323  2.9806  1.2401  3.1514  2.1530  1.6797  1.5025  1.4245
 211  0.795065  3.7317  2.9635  1.2551  3.1187  2.1171  1.6422  1.4642  1.3855
 212  0.795174  3.7313  2.9463  1.2705  3.0851  2.0803  1.6039  1.4252  1.3459
 213  0.795281  3.7307  2.9285  1.2862  3.0514  2.0432  1.5651  1.3855  1.3056
 214  0.795385  3.7302  2.9107  1.3021  3.0169  2.0054  1.5257  1.3453  1.2647
 215  0.795485  3.7297  2.8928  1.3182  2.9818  1.9670  1.4857  1.3045  1.2233
 216  0.795583  3.7291  2.8743  1.3344  2.9471  1.9286  1.4454  1.2632  1.1813
 217  0.795604  3.7290  2.8701  1.3381  2.9394  1.9199  1.4363  1.2540  1.1719
 218  0.795625  3.7289  2.8660  1.3417  2.9316  1.9113  1.4272  1.2446  1.1624
 219  0.795647  3.7288  2.8618  1.3454  2.9236  1.9025  1.4180  1.2352  1.1528
 220  0.795668  3.7287  2.8577  1.3492  2.9155  1.8937  1.4088  1.2259  1.1433
 221  0.795689  3.7286  2.8536  1.3529  2.9074  1.8847  1.3996  1.2165  1.1338
 222  0.795710  3.7285  2.8495  1.3566  2.8992  1.8758  1.3903  1.2070  1.1242
 223  0.795731  3.7284  2.8454  1.3603  2.8909  1.8668  1.3809  1.1975  1.1146
 224  0.795752  3.7283  2.8411  1.3641  2.8829  1.8579  1.3716  1.1880  1.1049
 225  0.795773  3.7281  2.8368  1.3679  2.8747  1.8489  1.3622  1.1784  1.0951
 226  0.795793  3.7280  2.8324  1.3717  2.8667  1.8400  1.3528  1.1687  1.0853
 227  0.796016  3.7267  2.7848  1.4142  2.7757  1.7393  1.2474  1.0610  0.9759
 228  0.796216  3.7253  2.7372  1.4564  2.6860  1.6396  1.1427  0.9539  0.8670
